Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Linha,Delay,Log,motion_prefix,report_type
2025-06-11 19:08:49,2025-06-11 19:08:48,2025-06-11 19:08:47,867488061407846,34618.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14470.0,0.0,-,1.0,0.0,22,12.0,-,1.0,36.1,261.0,752.0,-12.091796,-45.754919,724.0,2.0,937b,077ad212,5.1,1398.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10.0,,98,1.0,Não,2,10
2025-06-11 19:11:52,2025-06-11 19:11:48,2025-06-11 19:11:47,867488061407846,34623.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12965.0,0.0,-,1.0,0.0,22,12.0,-,1.0,47.4,261.0,760.0,-12.094004,-45.771609,724.0,2.0,937b,077ad20f,6.9,1400.1,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,101,4.0,Não,2,10
2025-06-11 19:12:51,2025-06-11 19:12:50,2025-06-11 19:12:51,867488061407846,34624.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12989.0,0.0,-,1.0,0.0,22,12.0,-,1.0,25.7,297.0,755.0,-12.094734,-45.777752,724.0,2.0,937b,077ab28d,7.6,1400.8,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,102,1.0,Não,2,11
2025-06-11 19:12:58,2025-06-11 19:12:57,2025-06-11 19:12:58,867488061407846,34625.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13481.0,0.0,-,1.0,0.0,22,12.0,-,1.0,23.7,266.0,754.0,-12.094593,-45.77819,724.0,2.0,937b,077ab28d,7.6,1400.8,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,103,1.0,Não,2,11
2025-06-11 19:13:02,2025-06-11 19:13:01,2025-06-11 19:13:02,867488061407846,34626.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13540.0,0.0,-,1.0,0.0,22,12.0,-,1.0,29.9,232.0,754.0,-12.094692,-45.778452,724.0,2.0,937b,077ab28d,7.7,1400.9,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,104,1.0,Não,2,11
2025-06-11 19:13:06,2025-06-11 19:13:05,2025-06-11 19:13:06,867488061407846,34627.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14056.0,0.0,-,1.0,0.0,22,12.0,-,1.0,23.6,201.0,753.0,-12.094907,-45.778606,724.0,2.0,937b,077ad30d,7.7,1400.9,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,105,1.0,Não,2,11
2025-06-11 19:13:10,2025-06-11 19:13:09,2025-06-11 19:13:10,867488061407846,34628.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14059.0,0.0,-,1.0,0.0,22,12.0,-,1.0,28.9,171.0,753.0,-12.095154,-45.778626,724.0,2.0,937b,077ad30d,7.7,1400.9,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,106,1.0,Não,2,11
2025-06-11 19:13:35,2025-06-11 19:13:13,2025-06-11 19:13:14,867488061407846,34629.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13015.0,0.0,-,1.0,0.0,22,12.0,-,1.0,31.8,136.0,753.0,-12.095422,-45.778466,724.0,2.0,937b,077ad30d,7.7,1400.9,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,107,22.0,Não,2,11
2025-06-11 19:13:35,2025-06-11 19:13:19,2025-06-11 19:13:20,867488061407846,34630.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14014.0,0.0,-,1.0,0.0,22,12.0,-,1.0,22.9,172.0,753.0,-12.09573,-45.778233,724.0,2.0,937b,077ad30d,7.8,1401.0,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,108,16.0,Não,2,11
2025-06-11 19:13:35,2025-06-11 19:13:28,2025-06-11 19:13:29,867488061407846,34631.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13810.0,0.0,-,1.0,0.0,22,12.0,-,1.0,19.3,216.0,752.0,-12.096311,-45.778203,724.0,2.0,937b,077ad30d,7.9,1401.1,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,109,7.0,Não,2,11
2025-06-11 19:13:36,2025-06-11 19:13:30,2025-06-11 19:13:31,867488061407846,34632.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14033.0,0.0,-,1.0,0.0,22,12.0,-,1.0,19.4,260.0,752.0,-12.09635,-45.778289,724.0,2.0,937b,077ad30d,7.9,1401.1,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,110,6.0,Não,2,11
2025-06-11 19:14:40,2025-06-11 19:14:39,2025-06-11 19:14:40,867488061407846,34635.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14461.0,0.0,-,1.0,0.0,22,12.0,-,1.0,14.3,308.0,752.0,-12.096514,-45.779976,724.0,2.0,937b,077ad30d,8.0,1401.2,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,112,1.0,Não,2,11
2025-06-11 19:14:42,2025-06-11 19:14:41,2025-06-11 19:14:42,867488061407846,34636.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14461.0,0.0,-,1.0,0.0,22,12.0,-,1.0,22.3,346.0,752.0,-12.096427,-45.780014,724.0,2.0,937b,077ad30d,8.1,1401.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,113,1.0,Não,2,11
2025-06-11 19:14:49,2025-06-11 19:14:48,2025-06-11 19:14:48,867488061407846,34637.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12983.0,0.0,-,1.0,0.0,22,12.0,-,1.0,35.1,351.0,753.0,-12.095961,-45.780094,724.0,2.0,937b,077ad30d,8.1,1401.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,114,1.0,Não,2,10
2025-06-11 19:14:55,2025-06-11 19:14:53,2025-06-11 19:14:54,867488061407846,34638.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14028.0,0.0,-,1.0,0.0,22,12.0,-,1.0,22.0,33.0,754.0,-12.095511,-45.78011,724.0,2.0,937b,077ad30d,8.2,1401.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,115,2.0,Não,2,11
2025-06-11 19:14:56,2025-06-11 19:14:55,2025-06-11 19:14:56,867488061407846,34639.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14028.0,0.0,-,1.0,0.0,22,12.0,-,1.0,27.5,80.0,754.0,-12.095459,-45.779998,724.0,2.0,937b,077ad30d,8.2,1401.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,116,1.0,Não,2,11
2025-06-11 19:15:13,2025-06-11 19:15:11,2025-06-11 19:15:12,867488061407846,34640.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14034.0,0.0,-,1.0,0.0,22,12.0,-,1.0,9.4,116.0,751.0,-12.095321,-45.778658,724.0,2.0,937b,077ab28d,8.3,1401.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,117,2.0,Não,2,11
2025-06-11 19:15:23,2025-06-11 19:15:22,2025-06-11 19:15:23,867488061407846,34641.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13253.0,0.0,-,1.0,0.0,22,12.0,-,1.0,29.1,84.0,752.0,-12.095535,-45.778095,724.0,2.0,937b,077ab28d,8.4,1401.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,118,1.0,Não,2,11
2025-06-11 19:15:27,2025-06-11 19:15:26,2025-06-11 19:15:27,867488061407846,34642.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13010.0,0.0,-,1.0,0.0,22,12.0,-,1.0,35.7,49.0,752.0,-12.095392,-45.777801,724.0,2.0,937b,077ab28d,8.4,1401.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,119,1.0,Não,2,11
2025-06-11 19:15:34,2025-06-11 19:15:33,2025-06-11 19:15:34,867488061407846,34643.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13500.0,0.0,-,1.0,0.0,22,12.0,-,1.0,37.8,81.0,754.0,-12.095084,-45.777276,724.0,2.0,937b,077ab28d,8.5,1401.7,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,120,1.0,Não,2,11
2025-06-11 19:16:13,2025-06-11 19:16:12,2025-06-11 19:16:13,867488061407846,34646.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14531.0,0.0,-,1.0,0.0,22,12.0,-,1.0,23.8,124.0,758.0,-12.094497,-45.772389,724.0,2.0,937b,077ad213,9.0,1402.2,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11.0,,122,1.0,Não,2,11
2025-06-11 19:16:15,2025-06-11 19:16:14,2025-06-11 19:16:15,867488061407846,34647.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14054.0,0.0,-,1.0,0.0,22,12.0,-,1.0,27.3,169.0,758.0,-12.09461,-45.772333,724.0,2.0,937b,077ad213,9.0,1402.2,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11.0,,123,1.0,Não,2,11
2025-06-11 19:16:50,2025-06-11 19:16:49,2025-06-11 19:16:50,867488061407846,34648.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13959.0,0.0,-,1.0,0.0,22,12.0,-,1.0,8.4,133.0,757.0,-12.09749,-45.771939,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,124,1.0,Não,2,11
2025-06-11 19:16:53,2025-06-11 19:16:52,2025-06-11 19:16:53,867488061407846,34649.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14026.0,0.0,-,1.0,0.0,22,12.0,-,1.0,4.1,100.0,755.0,-12.097503,-45.771889,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,125,1.0,Não,2,11
2025-06-11 19:16:55,2025-06-11 19:16:54,2025-06-11 19:16:55,867488061407846,34650.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13952.0,0.0,-,1.0,0.0,22,12.0,-,1.0,3.4,62.0,755.0,-12.097495,-45.771874,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,126,1.0,Não,2,11
2025-06-11 19:16:58,2025-06-11 19:16:56,2025-06-11 19:16:57,867488061407846,34651.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13952.0,0.0,-,1.0,0.0,22,12.0,-,1.0,5.8,21.0,755.0,-12.097469,-45.771864,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,127,2.0,Não,2,11
2025-06-11 19:16:59,2025-06-11 19:16:58,2025-06-11 19:16:59,867488061407846,34652.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13902.0,0.0,-,1.0,0.0,22,12.0,-,1.0,4.7,349.0,755.0,-12.097444,-45.771869,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11.0,,128,1.0,Não,2,11
2025-06-11 19:17:03,2025-06-11 19:17:02,2025-06-11 19:17:02,867488061407846,34653.0,GTIGF,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,13991.0,0.0,0000,0.0,0.0,12,12.0,1043,1.0,0.0,349.0,755.0,-12.097421,-45.771882,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,129,1.0,Não,1,
2025-06-11 19:17:03,2025-06-11 19:17:02,2025-06-11 19:17:02,867488061407846,34654.0,GTSTT,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,13991.0,0.0,0000,0.0,0.0,12,12.0,-,1.0,0.0,349.0,755.0,-12.097421,-45.771882,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,130,1.0,Não,1,
2025-06-11 19:17:03,2025-06-11 19:17:02,2025-06-11 19:17:03,867488061407846,34655.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13991.0,0.0,-,0.0,0.0,12,12.0,-,1.0,0.1,349.0,756.0,-12.097421,-45.771883,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,10.0,,131,1.0,Não,1,10
2025-06-11 19:17:04,2025-06-11 19:17:02,2025-06-11 19:17:03,867488061407846,34656.0,GTIGL,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,13991.0,0.0,0000,0.0,0.0,12,12.0,-,1.0,0.1,349.0,756.0,-12.097421,-45.771883,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,1.0,,132,2.0,Não,1,1
2025-06-11 19:18:04,2025-06-11 19:18:03,2025-06-11 19:18:04,867488061407846,34659.0,GTSTT,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12790.0,0.0,0000,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad212,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,134,1.0,Não,1,
2025-06-11 20:16:58,2025-06-11 20:16:57,2025-06-11 20:14:30,867488061407846,34718.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12809.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,10.0,,164,1.0,Não,1,10
2025-06-11 21:16:58,2025-06-11 21:16:57,2025-06-11 21:14:30,867488061407846,34779.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12782.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ab28d,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,10.0,,195,1.0,Não,1,10
2025-06-11 22:16:58,2025-06-11 22:16:57,2025-06-11 22:14:30,867488061407846,34840.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12758.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad20e,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,226,1.0,Não,1,10
2025-06-11 23:16:58,2025-06-11 23:16:57,2025-06-11 23:14:55,867488061407846,34901.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12742.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad20e,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,257,1.0,Não,1,10
2025-06-12 00:16:58,2025-06-12 00:16:57,2025-06-12 00:14:32,867488061407846,34962.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12731.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad20e,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,288,1.0,Não,1,10
2025-06-12 01:16:58,2025-06-12 01:16:57,2025-06-12 01:14:38,867488061407846,35023.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12713.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad212,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10.0,,319,1.0,Não,1,10
2025-06-12 02:16:58,2025-06-12 02:16:57,2025-06-12 02:14:53,867488061407846,35084.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12691.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad212,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10.0,,350,1.0,Não,1,10
2025-06-12 03:16:58,2025-06-12 03:16:57,2025-06-12 03:14:33,867488061407846,35145.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12691.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad20e,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,381,1.0,Não,1,10
2025-06-12 04:16:58,2025-06-12 04:16:57,2025-06-12 04:14:41,867488061407846,35206.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12591.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad20e,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,412,1.0,Não,1,10
2025-06-12 05:16:58,2025-06-12 05:16:57,2025-06-12 05:15:00,867488061407846,35267.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12674.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad20e,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,443,1.0,Não,1,10
2025-06-12 06:16:58,2025-06-12 06:16:57,2025-06-12 06:14:31,867488061407846,35328.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12665.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,349.0,756.0,-12.09742,-45.771883,724.0,2.0,937b,077ad20e,9.4,1402.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,474,1.0,Não,1,10
